Run p Disp_sta Disp_mob Diff_disp Landscape Gendiv_t0 Gendiv_t50 Gendiv_loss Colon_npatches Colon_t Colon_rate Colon_sdrate Colon_meanrate Colon_CV gendivlossSouth gendivlossNortheast gendivlossNorthwest Meangendivloss sdgendivloss cvgendivloss Ae_t0 Ae_t50 Ae_loss AelossSouth AelossNortheast AelossNorthwest MeanAeloss sdAeloss CVAeloss
LHS_121 0.73 3.03 22.21 89.86 Patchy_25 0.4917 0.477300198 0.014399802 171 20 8.55 2.531962348 6.583333333 0.384601876 -0.001693014 0.00370484 0.024840528 0.008950785 0.014023094 1.56668883 1.989845817 1.948988128 0.040857689 -0.005018418 0.017280436 0.089349873 0.03387063 0.049323113 1.456220721
LHS_122 0.79 2.15 44.75 6.62 Patchy_25 0.4924 0.488682594 0.003717406 171 12 14.25 6.045161824 12.02777778 0.502600059 -0.001110909 -0.00122384 0.003575408 0.000413553 0.002738829 6.622683949 1.985840954 1.964975204 0.02086575 -0.000819997 0.008787671 0.022568194 0.010178623 0.011755974 1.154967086
LHS_123 0.49 1.78 19.31 7.05 Continuous 0.4924 0.487245029 0.005154971 229 20 11.45 3.3993872 8.833333333 0.384836287 -0.000463337 0.004203682 0.00991418 0.004551508 0.005197495 1.141928045 1.989729019 1.961747269 0.02798175 -0.00326947 0.015426905 0.036851356 0.016336264 0.020075865 1.228914115
LHS_124 0.74 3.22 30.71 43.8 Patchy_50 0.4973 0.480621925 0.016678075 114 18 6.333333333 5.67972352 6.944444444 0.817880187 -0.003782703 0.00720644 0.011801987 0.005075241 0.008007943 1.577844721 1.992410907 1.948831513 0.043579393 -0.003940947 0.038192112 0.056170191 0.030140452 0.030853835 1.023668629
LHS_125 0.43 1.81 38.47 11.79 Continuous 0.5086 0.490638092 0.017961908 229 10 22.9 7.502987059 16.87777778 0.444548279 0.001990653 0.00282337 0.005090706 0.003301576 0.001604398 0.48594916 1.990346818 1.966300359 0.024046458 0.00771699 0.010933815 0.017611332 0.012087379 0.005047032 0.417545618
LHS_126 0.72 1.11 42.2 59.98 Patchy_50 0.5042 0.486287512 0.017912488 114 14 8.142857143 5.408484139 7.30952381 0.739922912 0.00482426 0.010859605 0.0098676 0.008517155 0.003236375 0.37998309 1.991496311 1.969084608 0.022411703 -0.003360286 0.016234964 0.019953015 0.010942564 0.012525359 1.144645675
LHS_127 0.75 0.64 23.24 62.45 Continuous 0.4891 0.478434408 0.010665592 229 26 8.807692308 1.966920413 6.228937729 0.315771404 -0.001887591 0.006207768 0.013435011 0.005918396 0.007665399 1.295181801 1.991990207 1.953193203 0.038797004 0.003657294 0.035733914 0.059844924 0.033078711 0.028187764 0.852142159
LHS_128 0.31 2.37 19.63 34.84 Patchy_25 0.4965 0.475761524 0.020738476 171 18 9.5 2.369247419 6.766666667 0.350135087 0.003739019 0.018669029 0.027349089 0.016585712 0.011942111 0.720023996 1.991347595 1.929554192 0.061793403 -0.000819378 0.056189657 0.083777267 0.046382515 0.04314259 0.930147708
LHS_129 0.61 0.93 48.14 69.11 Patchy_25 0.4851 0.492605564 -0.007505564 171 12 14.25 6.045161824 12.02777778 0.502600059 0.007321651 0.008100597 0.009336939 0.008253063 0.001016258 0.123137067 1.991157271 1.978909571 0.0122477 0.004604232 0.004566965 0.011588562 0.00691992 0.004043205 0.584285032
LHS_13 0.39 3.62 14.53 81.41 Continuous 0.4954 0.477230756 0.018169244 229 24 9.541666667 4.057814249 8.069444444 0.502861663 -0.004707487 0.00516705 0.016558881 0.005672815 0.010642201 1.876000121 1.987127389 1.941735793 0.045391596 0.001891569 0.043130545 0.080208273 0.041743463 0.039176773 0.938512775
LHS_130 0.38 1.46 35.86 69.54 Patchy_50 0.4868 0.48742348 -0.00062348 114 12 9.5 4.817743055 7.972222222 0.604316202 0.005344151 0.009027379 0.012463273 0.008944934 0.003560277 0.398021628 1.989491506 1.957993109 0.031498397 0.002601166 0.013294816 0.025256296 0.013717426 0.011333476 0.826210093
LHS_131 0.63 1.71 15.73 75.95 Patchy_25 0.4947 0.461461057 0.033238943 171 28 6.107142857 3.373629729 5.607142857 0.601666449 0.009650028 0.02031349 0.049122532 0.026362017 0.020419553 0.774582371 1.989691409 1.919637743 0.070053666 0.012319535 0.055591117 0.148780605 0.072230419 0.069735613 0.965460454
LHS_132 0.65 0.18 26.41 64.81 Continuous 0.5023 0.463338814 0.038961186 229 30 7.633333333 2.346689206 5.790277778 0.405280938 -0.001777375 0.013825037 0.027457387 0.01316835 0.01462844 1.11087877 1.989271857 1.92226381 0.067008047 -0.00786595 0.047028476 0.089979167 0.043047231 0.049043903 1.139304475
LHS_133 0.56 3.38 21.76 60.11 Patchy_25 0.4856 0.477710673 0.007889327 171 18 9.5 7.852600419 9.933333333 0.790530243 0.003430666 0.012972832 0.023144654 0.013182718 0.00985867 0.747848054 1.991099784 1.940616687 0.050483097 -0.001654346 0.03396052 0.071314706 0.034540293 0.036487981 1.056388858
LHS_134 0.26 3.01 20.04 4.94 Continuous 0.4917 0.48993056 0.00176944 229 18 12.72222222 10.54083964 13.32962963 0.790782635 -0.001239879 0.0000483752 0.004929694 0.001246063 0.003254497 2.611823176 1.989699327 1.973011185 0.016688142 -0.000761662 0.003898934 0.02519146 0.009442911 0.013836289 1.465256789
LHS_135 0.36 1.06 13.79 99.73 Patchy_50 0.5001 0.430546313 0.069553687 114 32 3.5625 2.776916099 3.552083333 0.781771101 0.002604804 0.060117764 0.081243155 0.047988574 0.040698102 0.848078996 1.988425376 1.838752887 0.149672488 -0.016596146 0.169299033 0.234090923 0.12893127 0.13012751 1.009278122
LHS_136 0.58 1.99 47.06 4.61 Patchy_25 0.4927 0.493007645 -0.000307645 171 10 17.1 5.587320301 12.57777778 0.444221579 0.002255209 0.002701513 0.005711371 0.003556031 0.001879871 0.528643044 1.990475574 1.970988865 0.01948671 -0.002562438 0.001926582 0.010917648 0.003427264 0.006864198 2.002821629
LHS_137 0.54 2.9 26.07 93.55 Patchy_50 0.5018 0.484754002 0.017045998 114 16 7.125 5.553832198 7.104166667 0.781771101 -0.002434437 0.00041767 0.009582681 0.002521971 0.006278841 2.489656082 1.98982404 1.958366055 0.031457985 0.00144338 0.016629924 0.048106303 0.022059869 0.023800637 1.078911092
LHS_138 0.46 0.5 40.59 9.93 Continuous 0.4968 0.490285831 0.006514169 229 12 19.08333333 9.028728582 15.15277778 0.595846433 -0.008131561 -0.005179548 -0.005278645 -0.006196585 0.001676471 -0.270547507 1.989317366 1.967755113 0.021562253 -0.007872131 0.001170299 0.003586329 -0.001038501 0.00604013 -5.816200552
LHS_139 0.32 2.13 46.37 10.91 Patchy_25 0.5023 0.494206496 0.008093504 171 8 21.375 3.599045012 14.875 0.241952606 -0.002399103 -0.001017298 0.000280367 -0.001045345 0.001339955 -1.281830491 1.990871853 1.978072864 0.012798988 -0.002417003 -0.000480443 0.001307395 -0.000530017 0.001862694 -3.514403087
LHS_14 0.47 1.89 18.57 68.55 Patchy_25 0.4874 0.477968732 0.009431268 171 22 7.772727273 2.685764944 6.433333333 0.417476416 -0.007549255 0.000985141 0.014483454 0.00263978 0.011109161 4.208365812 1.991635132 1.942622129 0.049013003 0.0000451461 0.022768524 0.073722491 0.03217872 0.03772932 1.172492887
LHS_140 0.65 2.09 45.37 31.5 Patchy_25 0.4945 0.491666435 0.002833565 171 10 17.1 4.602445002 14.05 0.327576157 0.005486916 0.005456112 0.008390641 0.006444556 0.001685429 0.261527544 1.990459727 1.97048121 0.019978516 -0.000354803 0.004789962 0.013438707 0.005957956 0.006970537 1.169954468
LHS_141 0.47 3.4 43.06 13.47 Patchy_50 0.4911 0.49016462 0.00093538 114 10 11.4 4.593030146 8.355555556 0.549697757 -0.002070382 -0.000127455 0.001115817 -0.000360673 0.001605852 -4.452372619 1.990233922 1.966795638 0.023438284 0.000035 0.007925892 0.014163926 0.007374932 0.007080569 0.960085931
LHS_142 0.51 3.73 34.62 64.08 Patchy_25 0.4854 0.486251741 -0.000851741 171 12 14.25 6.045161824 12.02777778 0.502600059 -0.003082357 -0.000125451 0.008969203 0.001920465 0.006280872 3.270495481 1.991770006 1.958555415 0.033214591 -0.001791002 0.010298022 0.046115739 0.018207586 0.024913547 1.368305869
LHS_143 0.32 3.41 18.16 48.38 Patchy_50 0.4989 0.477777105 0.021122895 114 20 5.7 5.998819328 6.583333333 0.911213063 -0.009133465 0.001757025 0.011794768 0.001472776 0.010467011 7.106993846 1.990115098 1.944735526 0.045379572 -0.004913743 0.025012267 0.063874328 0.027990951 0.034490637 1.232206712
LHS_144 0.57 0.92 49.79 84.74 Patchy_25 0.4973 0.492683845 0.004616155 171 10 17.1 5.587320301 12.57777778 0.444221579 0.005263766 0.006358445 0.007686516 0.006436242 0.001213247 0.188502399 1.98957265 1.976635893 0.012936756 0.000334336 0.004320623 0.01112609 0.00526035 0.005456904 1.037365324
LHS_145 0.35 1.07 48.79 1.26 Patchy_25 0.497 0.491913783 0.005086217 171 8 21.375 3.599045012 14.875 0.241952606 -0.007618033 -0.006337364 -0.004265561 -0.006073653 0.001691722 -0.278534587 1.990327011 1.972631195 0.017695815 0.001224371 0.007784463 0.015712077 0.008240304 0.007254602 0.88038041
